sampleName	originalIndex	Cell.Type..Samples	MajorType	JustPyra	GabaDeep	PyramidalDeep	Neurotransmitter1	ShinyNames	ShinySubtypes	CellType	forContanim	Normalize2.0	Normalize	MainName	Description	Region	Anatomical.Region	Age	AgeExact	Method	RNA.isolation.method	RNA.amplification.and.labeling.method	Platform	Reference	PMID	SharePermit	Notes	MouseStrain	ReporterGene
GSM241918	22	B_myelinOLs:v2_GSM241890,v2_GSM241893,v2_GSM241894,v2_GSM241918	Glia	NA	Oligo	Oligo	Oligodendrocyte	Oligodendrocyte	NA	Oligo	Oligo	TRUE	TRUE	OligoMature	Mature Oligodendrocytes	Cortex,Cerebrum	Cortex	14-35	17	PAN	RNeasy Micro Kit	T7 IVT	GPL1261	Cahoy et al., 2008	18171944	TRUE	NA		
GSM37088	23	A_callosal_P14:GSM37088,GSM37089	Neuron	PyramidaCalloslMC	Pyramidal	NA	NA	NA	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidaCalloslMC	Pyramidal Neurons, Callosally projecting, P14	Cortex	L3 Cortex	14-35	14	FACS	StrataPrep Total RNA Micro Kit	T7 IVT	GPL339	Arlotta et al., 2005	15664173	TRUE	NA		
GSM37089	23	A_callosal_P14:GSM37088,GSM37089	Neuron	PyramidaCalloslMC	Pyramidal	NA	NA	NA	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidaCalloslMC	Pyramidal Neurons, Callosally projecting, P14	Cortex	L3 Cortex	14-35	14	FACS	StrataPrep Total RNA Micro Kit	T7 IVT	GPL339	Arlotta et al., 2005	15664173	TRUE	NA		
GSM37097	24	A_corticospinal_P14:GSM37097,GSM37098	Neuron	PyramidalMC	Pyramidal	NA	NA	NA	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidalCorticospineMC	Pyramidal Neurons, Corticospinal, P14	Cortex	L5 MC	14-35	14	FACS	StrataPrep Total RNA Micro Kit		GPL339	Arlotta et al., 2005	15664173	TRUE	NA		
GSM37098	24	A_corticospinal_P14:GSM37097,GSM37098	Neuron	PyramidalMC	Pyramidal	NA	NA	NA	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidalCorticospineMC	Pyramidal Neurons, Corticospinal, P14	Cortex	L5 MC	14-35	14	FACS	StrataPrep Total RNA Micro Kit		GPL339	Arlotta et al., 2005	15664173	TRUE	NA		
GSM37099	25	A_corticotecal_P14:GSM37099,GSM37100	Neuron	PyramidaCorticotectalVC	Pyramidal	NA	NA	NA	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidaCorticotectalVC	Pyramidal Neurons, Corticotectal, P14	Cortex	L5 VC	14-35	14	FACS	StrataPrep Total RNA Micro Kit	T7 IVT	GPL339	Arlotta et al., 2005	15664173	TRUE	NA		
GSM37100	25	A_corticotecal_P14:GSM37099,GSM37100	Neuron	PyramidaCorticotectalVC	Pyramidal	NA	NA	NA	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidaCorticotectalVC	Pyramidal Neurons, Corticotectal, P14	Cortex	L5 VC	14-35	14	FACS	StrataPrep Total RNA Micro Kit	T7 IVT	GPL339	Arlotta et al., 2005	15664173	TRUE	NA		
GSM63033	26	S_bcg: GSM63033, GSM63034, GSM63035	Neuron	PyramidalCorticoThalam	Pyramidal	PyramidalCorticoThalam	Pyramidal	PyramidalCorticoThalam	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidalCorticoThalam	Pyramidal Neurons	Cortex	L6 CC	46-80	60	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63034	26	S_bcg: GSM63033, GSM63034, GSM63035	Neuron	PyramidalCorticoThalam	Pyramidal	PyramidalCorticoThalam	Pyramidal	PyramidalCorticoThalam	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidalCorticoThalam	Pyramidal Neurons	Cortex	L6 CC	46-80	60	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63035	26	S_bcg: GSM63033, GSM63034, GSM63035	Neuron	PyramidalCorticoThalam	Pyramidal	PyramidalCorticoThalam	Pyramidal	PyramidalCorticoThalam	NA	Pyramidal	Pyramidal	FALSE	TRUE	PyramidalCorticoThalam	Pyramidal Neurons	Cortex	L6 CC	46-80	60	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63039	27	S_yfp_si: GSM63039, GSM63040, GSM63041	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5-6 SC	46-80	61	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63040	27	S_yfp_si: GSM63039, GSM63040, GSM63041	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5-6 SC	46-80	61	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63041	27	S_yfp_si: GSM63039, GSM63040, GSM63041	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5-6 SC	46-80	61	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63036	28	S_yfp_cg: GSM63036, GSM63037, GSM63038	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5 CC	46-80	62	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63037	28	S_yfp_cg: GSM63036, GSM63037, GSM63038	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5 CC	46-80	62	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63038	28	S_yfp_cg: GSM63036, GSM63037, GSM63038	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Cortex	L5 CC	46-80	62	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63045	29	S_yfp_a:y111a,y120a,y90a: GSM63045, GSM63046, GSM63047	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Amygdala	Amyg	46-80	63	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63046	29	S_yfp_a:y111a,y120a,y90a: GSM63045, GSM63046, GSM63047	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Amygdala	Amyg	46-80	63	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63047	29	S_yfp_a:y111a,y120a,y90a: GSM63045, GSM63046, GSM63047	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Amygdala	Amyg	46-80	63	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63042	30	S_yfp_h:y104h,y43h,y81h: GSM63042, GSM63043, GSM63044	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Hippocampus	Hippo	46-80	64	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63043	30	S_yfp_h:y104h,y43h,y81h: GSM63042, GSM63043, GSM63044	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Hippocampus	Hippo	46-80	64	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63044	30	S_yfp_h:y104h,y43h,y81h: GSM63042, GSM63043, GSM63044	Neuron	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	Pyramidal	Pyramidal_Thy1	NA	Pyramidal	Pyramidal	FALSE	TRUE	Pyramidal	Pyramidal Neurons	Hippocampus	Hippo	46-80	64	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63048	31	S_g30_a:s44am,s61am,s63am GSE2882 for all sugino: GSM63048, GSM63049, GSM63050	Neuron	NA	Gluta	Gluta	Glutamatergic	Gluta	NA	Gluta	Gluta	FALSE	TRUE	Gluta	Glutamatergic Neuron (not well defined)	Amygdala	Amygdala	46-80	65	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63049	31	S_g30_a:s44am,s61am,s63am GSE2882 for all sugino: GSM63048, GSM63049, GSM63050	Neuron	NA	Gluta	Gluta	Glutamatergic	Gluta	NA	Gluta	Gluta	FALSE	TRUE	Gluta	Glutamatergic Neuron (not well defined)	Amygdala	Amygdala	46-80	65	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63050	31	S_g30_a:s44am,s61am,s63am GSE2882 for all sugino: GSM63048, GSM63049, GSM63050	Neuron	NA	Gluta	Gluta	Glutamatergic	Gluta	NA	Gluta	Gluta	FALSE	TRUE	Gluta	Glutamatergic Neuron (not well defined)	Amygdala	Amygdala	46-80	65	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA		
GSM63024	32	S_g30_cg GSM63024, GSM63025, GSM63026	Neuron	NA	GabaVIPReln	GabaVIPReln	Gabaergic	GabaVIPReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Cingulate Cortex	46-80	66	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2
GSM63025	32	S_g30_cg GSM63024, GSM63025, GSM63026	Neuron	NA	GabaVIPReln	GabaVIPReln	Gabaergic	GabaVIPReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Cingulate Cortex	46-80	66	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2
GSM63026	32	S_g30_cg GSM63024, GSM63025, GSM63026	Neuron	NA	GabaVIPReln	GabaVIPReln	Gabaergic	GabaVIPReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Cingulate Cortex	46-80	66	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2
GSM63027	33	S_g30_si  GSM63027, GSM63028, GSM63029	Neuron	NA	GabaVIPReln	GabaVIPReln	Gabaergic	GabaVIPReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Somatosensory Cortex	46-80	67	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2
GSM63028	33	S_g30_si  GSM63027, GSM63028, GSM63029	Neuron	NA	GabaVIPReln	GabaVIPReln	Gabaergic	GabaVIPReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Somatosensory Cortex	46-80	67	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2
GSM63029	33	S_g30_si  GSM63027, GSM63028, GSM63029	Neuron	NA	GabaVIPReln	GabaVIPReln	Gabaergic	GabaVIPReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaVIPReln	GABAergic Interneurons, VIP+	Cortex	Somatosensory Cortex	46-80	67	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G30	Gad2
GSM63018	34	S_gin_cg GSM63018, GSM63019, GSM63020	Neuron	NA	GabaRelnCalb	GabaRelnCalb	Gabaergic	GabaRelnCalb	NA	Gaba	Gabaergic	FALSE	TRUE	GabaRelnCalb	GABAergic Interneurons, SST+	Cortex	Cingulate Cortex	46-80	68	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	GIN	Gad1
GSM63019	34	S_gin_cg GSM63018, GSM63019, GSM63020	Neuron	NA	GabaRelnCalb	GabaRelnCalb	Gabaergic	GabaRelnCalb	NA	Gaba	Gabaergic	FALSE	TRUE	GabaRelnCalb	GABAergic Interneurons, SST+	Cortex	Cingulate Cortex	46-80	68	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	GIN	Gad1
GSM63020	34	S_gin_cg GSM63018, GSM63019, GSM63020	Neuron	NA	GabaRelnCalb	GabaRelnCalb	Gabaergic	GabaRelnCalb	NA	Gaba	Gabaergic	FALSE	TRUE	GabaRelnCalb	GABAergic Interneurons, SST+	Cortex	Cingulate Cortex	46-80	68	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	GIN	Gad1
GSM63015	35	S_gin_h GSM63015, GSM63016, GSM63017	Neuron	NA	GabaSSTReln	GabaSSTReln	Gabaergic	GabaSSTReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaSSTReln	GABAergic Interneurons, SST+	Hippocampus	Hippocampus	46-80	69	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	GIN	Gad1
GSM63016	35	S_gin_h GSM63015, GSM63016, GSM63017	Neuron	NA	GabaSSTReln	GabaSSTReln	Gabaergic	GabaSSTReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaSSTReln	GABAergic Interneurons, SST+	Hippocampus	Hippocampus	46-80	69	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	GIN	Gad1
GSM63017	35	S_gin_h GSM63015, GSM63016, GSM63017	Neuron	NA	GabaSSTReln	GabaSSTReln	Gabaergic	GabaSSTReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaSSTReln	GABAergic Interneurons, SST+	Hippocampus	Hippocampus	46-80	69	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	GIN	Gad1
GSM63021	36	S_g42_cg GSM63021, GSM63022, GSM63023	Neuron	NA	GabaPV	GabaPV	Gabaergic	GabaPV	NA	GabaPV	Gabaergic	FALSE	TRUE	GabaPV	GABAergic Interneurons, PV+	Cortex	Cingulate Cortex	46-80	70	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G42	Gad1
GSM63022	36	S_g42_cg GSM63021, GSM63022, GSM63023	Neuron	NA	GabaPV	GabaPV	Gabaergic	GabaPV	NA	GabaPV	Gabaergic	FALSE	TRUE	GabaPV	GABAergic Interneurons, PV+	Cortex	Cingulate Cortex	46-80	70	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G42	Gad1
GSM63023	36	S_g42_cg GSM63021, GSM63022, GSM63023	Neuron	NA	GabaPV	GabaPV	Gabaergic	GabaPV	NA	GabaPV	Gabaergic	FALSE	TRUE	GabaPV	GABAergic Interneurons, PV+	Cortex	Cingulate Cortex	46-80	70	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G42	Gad1
GSM63030	37	S_g42_lg: GSM63030, GSM63031, GSM63032	Neuron	NA	GabaReln	GabaReln	Gabaergic	GabaReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaReln	GABAergic Interneurons, PV+	Thalamus	Thalamus (Lateral Geniculate Nucleus)	46-80	71	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G42	Gad1
GSM63031	37	S_g42_lg: GSM63030, GSM63031, GSM63032	Neuron	NA	GabaReln	GabaReln	Gabaergic	GabaReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaReln	GABAergic Interneurons, PV+	Thalamus	Thalamus (Lateral Geniculate Nucleus)	46-80	71	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G42	Gad1
GSM63032	37	S_g42_lg: GSM63030, GSM63031, GSM63032	Neuron	NA	GabaReln	GabaReln	Gabaergic	GabaReln	NA	Gaba	Gabaergic	FALSE	TRUE	GabaReln	GABAergic Interneurons, PV+	Thalamus	Thalamus (Lateral Geniculate Nucleus)	46-80	71	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL339	Sugino et al., 2006	16369481	TRUE	NA	G42	Gad1
GSM444355	38	S_g42_p15:v2_H34P13,v2_rhwj1,v2_rhwj2: GSM444355, GSM444356, GSM444357	Neuron	NA	GabaPV	GabaPV	Gabaergic	GabaPV	NA	GabaPV	Gabaergic	TRUE	TRUE	GabaPV	GABAergic Interneurons, PV+, P13-P15	Cortex	Somatosensory Cortex	14-35	15	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL1261	Okaty et al., 2009	19474331	TRUE	NA	G42	Gad1
GSM444356	38	S_g42_p15:v2_H34P13,v2_rhwj1,v2_rhwj2: GSM444355, GSM444356, GSM444357	Neuron	NA	GabaPV	GabaPV	Gabaergic	GabaPV	NA	GabaPV	Gabaergic	TRUE	TRUE	GabaPV	GABAergic Interneurons, PV+, P13-P15	Cortex	Somatosensory Cortex	14-35	15	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL1261	Okaty et al., 2009	19474331	TRUE	NA	G42	Gad1
GSM444357	38	S_g42_p15:v2_H34P13,v2_rhwj1,v2_rhwj2: GSM444355, GSM444356, GSM444357	Neuron	NA	GabaPV	GabaPV	Gabaergic	GabaPV	NA	GabaPV	Gabaergic	TRUE	TRUE	GabaPV	GABAergic Interneurons, PV+, P13-P15	Cortex	Somatosensory Cortex	14-35	15	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL1261	Okaty et al., 2009	19474331	TRUE	NA	G42	Gad1
GSM444358	39	S_g42_p25:v2_H48P25,v2_H53P25,v2_H55P25 : GSM444358, GSM444359, GSM444360	Neuron	NA	GabaPV	GabaPV	Gabaergic	GabaPV	NA	GabaPV	Gabaergic	TRUE	TRUE	GabaPV	GABAergic Interneurons, PV+, P25	Cortex	Somatosensory Cortex	14-35	25	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL1261	Okaty et al., 2009	19474331	TRUE	NA	G42	Gad1
GSM444359	39	S_g42_p25:v2_H48P25,v2_H53P25,v2_H55P25 : GSM444358, GSM444359, GSM444360	Neuron	NA	GabaPV	GabaPV	Gabaergic	GabaPV	NA	GabaPV	Gabaergic	TRUE	TRUE	GabaPV	GABAergic Interneurons, PV+, P25	Cortex	Somatosensory Cortex	14-35	25	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL1261	Okaty et al., 2009	19474331	TRUE	NA	G42	Gad1
GSM444360	39	S_g42_p25:v2_H48P25,v2_H53P25,v2_H55P25 : GSM444358, GSM444359, GSM444360	Neuron	NA	GabaPV	GabaPV	Gabaergic	GabaPV	NA	GabaPV	Gabaergic	TRUE	TRUE	GabaPV	GABAergic Interneurons, PV+, P25	Cortex	Somatosensory Cortex	14-35	25	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL1261	Okaty et al., 2009	19474331	TRUE	NA	G42	Gad1
GSM444361	40	S_g42_rwt:v2_rhw38,v2_rhw54,v2_rhw60: GSM444361, GSM444362, GSM444363	Neuron	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	GabaPV	GABAergic Interneurons, PV+	Cortex	Motor Cortex	46-80	45	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL1261	Okaty et al., 2009	19474331	TRUE	Same as Sugino 2014		
GSM444362	40	S_g42_rwt:v2_rhw38,v2_rhw54,v2_rhw60: GSM444361, GSM444362, GSM444363	Neuron	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	GabaPV	GABAergic Interneurons, PV+	Cortex	Motor Cortex	46-80	45	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL1261	Okaty et al., 2009	19474331	TRUE	Same as Sugino 2014		
GSM444363	40	S_g42_rwt:v2_rhw38,v2_rhw54,v2_rhw60: GSM444361, GSM444362, GSM444363	Neuron	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	TRUE	GabaPV	GABAergic Interneurons, PV+	Cortex	Motor Cortex	46-80	45	Manual	Pico Pure RNA isolation kit	T7 IVT	GPL1261	Okaty et al., 2009	19474331	TRUE	Same as Sugino 2014		
GSM741193	41	GSM741193, GSM741194, GSM741192	Glia	NA	Microglia	Microglia	Microglia	Microglia	NA	Microglia	Microglia	TRUE	TRUE	Microglia	Microglia	All	dunno	46-80	42	FACS	dunno	dunno	GPL1261	Anandasabapathy et al., 2011	21788405	TRUE	NA		
GSM741194	41	GSM741193, GSM741194, GSM741192	Glia	NA	Microglia	Microglia	Microglia	Microglia	NA	Microglia	Microglia	TRUE	TRUE	Microglia	Microglia	All	dunno	46-80	42	FACS	dunno	dunno	GPL1261	Anandasabapathy et al., 2011	21788405	TRUE	NA		
GSM741192	41	GSM741193, GSM741194, GSM741192	Glia	NA	Microglia	Microglia	Microglia	Microglia	NA	Microglia	Microglia	TRUE	TRUE	Microglia	Microglia	All	dunno	46-80	42	FACS	dunno	dunno	GPL1261	Anandasabapathy et al., 2011	21788405	TRUE	NA		
PC400_1	42	R_purkinje:PC400_1,PC400_2,PC400_3	Neuron	NA	Purkinje	Purkinje	Gabaergic	Purkinje	NA	Purkinje	Purkinje	FALSE	TRUE	Purkinje	Purkinje Cells	Cerebellum	Cerebellum	46-80	65	LCM	RNeasy Micro Kit	T7 IVT	GPL339	Rossner et al., 2006	17005859	FALSE	NA		
PC400_2	42	R_purkinje:PC400_1,PC400_2,PC400_3	Neuron	NA	Purkinje	Purkinje	Gabaergic	Purkinje	NA	Purkinje	Purkinje	FALSE	TRUE	Purkinje	Purkinje Cells	Cerebellum	Cerebellum	46-80	65	LCM	RNeasy Micro Kit	T7 IVT	GPL339	Rossner et al., 2006	17005859	FALSE	NA		
PC400_3	42	R_purkinje:PC400_1,PC400_2,PC400_3	Neuron	NA	Purkinje	Purkinje	Gabaergic	Purkinje	NA	Purkinje	Purkinje	FALSE	TRUE	Purkinje	Purkinje Cells	Cerebellum	Cerebellum	46-80	65	LCM	RNeasy Micro Kit	T7 IVT	GPL339	Rossner et al., 2006	17005859	FALSE	NA		
A9_13_Chee_S1_M430A	45	I_A9:A9_13_Chee_S1_M430A,A9_14_b_Chee_S2_M430A,A9_14_Chee_S2_M430A,A9_15_Chee_S1_M430A,A9_17_Chee_S1_M430A,A9_13_Chee_S2_M430A,A9_14_b_Chee_S1_M430A,A9_14_Chee_S1_M430A,A9_15_Chee_S2_M430A,A9_16_Chee_S1_M430A,A9_16_Chee_S2_M430A,A9_17_Chee_S2_M430A,A9_18_Chee_S1_M430A,A9_18_Chee_S2_M430A,A9_19_Chee_S1_M430A,A9_19_Chee_S2_M430A,A9_20_Chee_S1_M430A,A9_20_Chee_S2_M430A,A9_6_Chee_S1_M430A,A9_6_Chee_S2_M430A,A9_7_Chee_S1_M430A,A9_7_Chee_S2_M430A,A9_8_Chee_S1_M430A,A9_8_Chee_S2_M430A	Neuron	NA	Dopaminergic	Dopaminergic	Monoamine	Dopaminergic	NA	Dopaminergic	Dopaminergic	FALSE	TRUE	A9Dopaminergic	A9 Dopaminergic Neurons	Midbrain	Ventral Midbrain	46-80	Adult	LCM	Pico Pure RNA isolation kit	T7 IVT	GPL339	Chung et al., 2005	15888489	FALSE	NA		
A9_15_Chee_S1_M430A	45	I_A9:A9_13_Chee_S1_M430A,A9_14_b_Chee_S2_M430A,A9_14_Chee_S2_M430A,A9_15_Chee_S1_M430A,A9_17_Chee_S1_M430A,A9_13_Chee_S2_M430A,A9_14_b_Chee_S1_M430A,A9_14_Chee_S1_M430A,A9_15_Chee_S2_M430A,A9_16_Chee_S1_M430A,A9_16_Chee_S2_M430A,A9_17_Chee_S2_M430A,A9_18_Chee_S1_M430A,A9_18_Chee_S2_M430A,A9_19_Chee_S1_M430A,A9_19_Chee_S2_M430A,A9_20_Chee_S1_M430A,A9_20_Chee_S2_M430A,A9_6_Chee_S1_M430A,A9_6_Chee_S2_M430A,A9_7_Chee_S1_M430A,A9_7_Chee_S2_M430A,A9_8_Chee_S1_M430A,A9_8_Chee_S2_M430A	Neuron	NA	Dopaminergic	Dopaminergic	Monoamine	Dopaminergic	NA	Dopaminergic	Dopaminergic	FALSE	TRUE	A9Dopaminergic	A9 Dopaminergic Neurons	Midbrain	Ventral Midbrain	46-80	Adult	LCM	Pico Pure RNA isolation kit	T7 IVT	GPL339	Chung et al., 2005	15888489	FALSE	NA		
A9_8_Chee_S1_M430A	45	I_A9:A9_13_Chee_S1_M430A,A9_14_b_Chee_S2_M430A,A9_14_Chee_S2_M430A,A9_15_Chee_S1_M430A,A9_17_Chee_S1_M430A,A9_13_Chee_S2_M430A,A9_14_b_Chee_S1_M430A,A9_14_Chee_S1_M430A,A9_15_Chee_S2_M430A,A9_16_Chee_S1_M430A,A9_16_Chee_S2_M430A,A9_17_Chee_S2_M430A,A9_18_Chee_S1_M430A,A9_18_Chee_S2_M430A,A9_19_Chee_S1_M430A,A9_19_Chee_S2_M430A,A9_20_Chee_S1_M430A,A9_20_Chee_S2_M430A,A9_6_Chee_S1_M430A,A9_6_Chee_S2_M430A,A9_7_Chee_S1_M430A,A9_7_Chee_S2_M430A,A9_8_Chee_S1_M430A,A9_8_Chee_S2_M430A	Neuron	NA	Dopaminergic	Dopaminergic	Monoamine	Dopaminergic	NA	Dopaminergic	Dopaminergic	FALSE	TRUE	A9Dopaminergic	A9 Dopaminergic Neurons	Midbrain	Ventral Midbrain	46-80	Adult	LCM	Pico Pure RNA isolation kit	T7 IVT	GPL339	Chung et al., 2005	15888489	FALSE	NA		
